"approval_time","interval","inspection_cond","numPic","social_cond","broken","about","browser","chosen_idx","rt","kept","chosen","faceIdx","face","kept_idx","trialType","answer_type","itemNum","trial_category","samePos","gaze_target","include_exclude_repeat","trial_num","intervalNum","numPicN","gaze_trial","first.trial","correct","subid","block","include_good_rt","mean_acc_exp","correct_exposure","rt_exposure","answer_type_exposure"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,7713,"Novel107","Novel78",-1,"straight-ahead",3,"Switch","participant_response",0,"test",1,NA,"include",6,0,4,"Gaze",FALSE,FALSE,1,"first","include",1,TRUE,6786,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",1,3916,"Novel44","Novel44",-1,"straight-ahead",1,"Same","participant_response",1,"test",1,NA,"include",8,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,4655,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,7253,"Novel140","Novel72",-1,"straight-ahead",0,"Switch","participant_response",2,"test",0,NA,"include",10,0,4,"Gaze",FALSE,FALSE,1,"first","include",1,TRUE,4348,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,6229,"Novel120","Novel64",-1,"straight-ahead",2,"Same","participant_response",3,"test",0,NA,"include",12,0,4,"Gaze",FALSE,FALSE,1,"first","include",1,TRUE,5094,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,8038,"Novel39","Novel32",-1,"straight-ahead",0,"Switch","participant_response",4,"test",0,NA,"include",14,0,4,"Gaze",FALSE,FALSE,1,"first","include",1,TRUE,4809,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,5312,"Novel133","Novel133",-1,"straight-ahead",0,"Same","participant_response",5,"test",1,NA,"include",16,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,5631,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,5088,"Novel35","Novel55",-1,"straight-ahead",1,"Switch","participant_response",6,"test",1,NA,"include",18,0,4,"Gaze",FALSE,FALSE,1,"first","include",1,TRUE,5175,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,3727,"Novel115","Novel115",-1,"straight-ahead",2,"Same","participant_response",7,"test",0,NA,"include",20,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,5728,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,3442,"Novel65","Novel23",-1,"straight-ahead",1,"Switch","participant_response",8,"test",1,NA,"include",22,0,4,"No-Gaze",FALSE,FALSE,1,"second","include",1,NA,6768,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",1,3554,"Novel60","Novel60",-1,"straight-ahead",1,"Same","participant_response",9,"test",1,NA,"include",24,0,4,"No-Gaze",FALSE,TRUE,1,"second","include",1,NA,4846,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,3636,"Novel111","Novel111",-1,"straight-ahead",1,"Switch","participant_response",10,"test",0,NA,"include",26,0,4,"No-Gaze",FALSE,TRUE,1,"second","include",1,NA,4779,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,3503,"Novel43","Novel43",-1,"straight-ahead",2,"Same","participant_response",11,"test",0,NA,"include",28,0,4,"No-Gaze",FALSE,TRUE,1,"second","include",1,NA,4632,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,3474,"Novel82","Novel82",-1,"straight-ahead",1,"Switch","participant_response",12,"test",0,NA,"include",30,0,4,"No-Gaze",FALSE,TRUE,1,"second","include",1,NA,4739,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",1,3891,"Novel126","Novel126",-1,"straight-ahead",1,"Same","participant_response",13,"test",1,NA,"include",32,0,4,"No-Gaze",FALSE,TRUE,1,"second","include",1,NA,4629,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",3,3743,"Novel91","Novel127",-1,"straight-ahead",1,"Switch","participant_response",14,"test",1,NA,"include",34,0,4,"No-Gaze",FALSE,FALSE,1,"second","include",1,NA,3794,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,3882,"Novel112","Novel112",-1,"straight-ahead",1,"Same","participant_response",15,"test",0,NA,"include",36,0,4,"No-Gaze",FALSE,TRUE,1,"second","include",1,NA,4597,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,6786,"Novel107","Novel138",2,"down-left-4sec",3,"Switch","participant_response",0,"exposure",1,"Novel138","include",5,0,4,"Gaze",TRUE,TRUE,1,"first","include",1,TRUE,6786,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",1,4655,"Novel44","Novel44",1,"up-right-4sec",1,"Same","participant_response",1,"exposure",1,"Novel44","include",7,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,4655,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",1,4348,"Novel140","Novel48",1,"up-right-4sec",0,"Switch","participant_response",2,"exposure",0,"Novel48","include",9,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,4348,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,5094,"Novel120","Novel120",2,"down-left-4sec",2,"Same","participant_response",3,"exposure",0,"Novel120","include",11,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,5094,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",3,4809,"Novel39","Novel88",3,"down-right-4sec",0,"Switch","participant_response",4,"exposure",0,"Novel88","include",13,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,4809,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,5631,"Novel133","Novel133",0,"up-left-4sec",0,"Same","participant_response",5,"exposure",1,"Novel133","include",15,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,5631,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",3,5175,"Novel35","Novel1",3,"down-right-4sec",1,"Switch","participant_response",6,"exposure",1,"Novel1","include",17,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,5175,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,5728,"Novel115","Novel115",2,"down-left-4sec",2,"Same","participant_response",7,"exposure",0,"Novel115","include",19,0,4,"Gaze",FALSE,TRUE,1,"first","include",1,TRUE,5728,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",3,6768,"Novel65","Novel17",-1,"straight-ahead",1,"Switch","participant_response",8,"exposure",1,NA,"include",21,0,4,"No-Gaze",FALSE,NA,1,"second","include",1,NA,6768,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",1,4846,"Novel60","Novel60",-1,"straight-ahead",1,"Same","participant_response",9,"exposure",1,NA,"include",23,0,4,"No-Gaze",FALSE,NA,1,"second","include",1,NA,4846,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",0,4779,"Novel111","Novel86",-1,"straight-ahead",1,"Switch","participant_response",10,"exposure",0,NA,"include",25,0,4,"No-Gaze",FALSE,NA,1,"second","include",1,NA,4779,"participant_response"
"2016-07-25 00:23:09","Zero","long",4,"SocialFirst","          No","          No idea","Chrome",2,4632,"Novel43","Novel43",-1,"straight-ahead",2,"Same","participant_response",11,"exposure",0,NA,"include",27,0,4,"No-Gaze",FALSE,NA,1,"second","include",1,NA,4632,"participant_response"
